importateur,npa,commune,canton,litres_rouge,litres_blanc,litres_total,noga_code,noga_label,commentaire,groupe,pays
SCHULER 1694 AG,6423,Seewen SZ,SZ,669434.0,110723.0,780157.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Schenk Suisse SA,1180,Rolle,VD,491367.0,283948.0,775315.0,11.02A,Vinification (Production de vin),"Un des plus grands acteurs de la production, de l'élevage et de la vinification en Suisse (Rolle, VD).",Schenk,CH
Scherer & Bühler AG,6045,Meggen,LU,555877.0,215745.0,771622.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Globalwine AG,8045,Zürich,ZH,632580.0,133278.0,765858.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Philipp Schwander AG,8045,Zürich,ZH,510337.0,177643.0,687980.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Delinat AG,9000,St. Gallen,SG,492018.0,159473.0,651491.0,47.91A,Commerce de détail par correspondance ou par Internet,,,CH
Weinwelt Schweiz AG,1920,Martigny,VS,388479.0,212430.0,600909.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
QoQa Services SA,1030,Bussigny,VD,492649.0,95370.0,588019.0,47.91A,Commerce de détail par correspondance ou par Internet,,,CH
Vinum SA,2504,Biel/Bienne,BE,509587.0,57493.0,567080.0,58.14A,Édition de revues et périodiques,"Attention particularité : Vinum est un magazine européen sur le vin, son activité principale relève donc des médias/édition.",,CH
Moët Hennessy (Suisse) SA,1262,Eysins,VD,526395.0,30237.0,556632.0,46.34A,Commerce de gros de boissons alcoolisées,,LVMH,CH
Pieroth Romanet SA,6330,Cham,ZG,406123.0,149606.0,555729.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Gerstl Weinselektionen AG,8957,Spreitenbach,ZH,413478.0,129355.0,542833.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Germidor Cave Derborence SA,1964,Conthey,VS,418224.0,121257.0,539481.0,11.02A,Vinification (Production de vin),"Cave de production, encavage et élevage de vins en Valais (Conthey).",Groupe Germanier,CH
Martel AG St. Gallen,9001,St. Gallen,SG,353886.0,152855.0,506741.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
AMD Swiss Sàrl,1616,Attalens,FR,356793.0,130854.0,487647.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Paul Ullrich AG,4018,Basel,BS,361142.0,113747.0,474889.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Real Casa Portuguesa GmbH,8112,Otelfingen,ZH,350096.0,101189.0,451285.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vergani + Co AG,8003,Zürich,ZH,286641.0,159691.0,446332.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Terravigna AG,3427,Utzenstorf,BE,328142.0,113284.0,441426.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Transgourmet Schweiz AG,4053,Basel,BS,271093.0,147696.0,418789.0,46.39A,Commerce de gros interentreprises de produits alimentaires,"Géant du cash & carry et de la livraison pour la restauration. Son assortiment de vin est immense, mais son code englobe la totalité de l'alimentaire de gros.",Coop,CH
Landi Schweiz AG,3293,Dotzigen,BE,329784.0,85499.0,415283.0,46.75A,Commerce de gros de produits chimiques,"Particularité réglementaire : En tant que centrale d'achat/logistique du groupe agricole Fenaco, la holding Landi est historiquement rattachée au gros agricole/intrants (les magasins Landi locaux ayant, eux, des codes de détail).",,CH
Borgovecchio SA,6828,Balerna,TI,320146.0,69108.0,389254.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vino Vintana AG,6030,Ebikon,LU,308437.0,63557.0,371994.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Cave Amann SA,9220,Bischofszell,TG,282904.0,83621.0,366525.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
H. Kracht's Erben AG,8001,Zürich,ZH,253251.0,101137.0,354388.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
AVU SA,6900,Paradiso,TI,317509.0,26003.0,343512.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vicampo.de GmbH Mainz (DE),9016,St. Gallen,SG,273542.0,49485.0,323027.0,47.91A,Commerce de détail par correspondance ou par Internet,,,CH
CAVE DE LA CÔTE société coopérative,1131,Tolochenaz,VD,273411.0,44368.0,317779.0,11.02A,Vinification (Production de vin),"Coopérative viticole majeure du bassin lémanique (Tolochenaz, VD) qui gère la récolte, le pressurage, la vinification et l'élevage.",,CH
Smith & Smith AG,8045,Zürich,ZH,169233.0,145454.0,314687.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
XL Brands Sàrl,1214,Vernier,GE,233495.0,76839.0,310334.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Emil Nüesch AG,9436,Balgach,SG,95800.0,204475.0,300275.0,11.02A,Vinification (Production de vin),"Maison de tradition de Suisse orientale (Heerbrugg, SG) qui possède ses propres vignobles et gère sa propre production de vin.",,CH
SPAR Management AG,9015,St. Gallen,SG,225986.0,70283.0,296269.0,70.10Z,Activités des sièges sociaux,Holding administrative centrale du groupe SPAR en Suisse.,,CH
Mauler & Cie S.A.,2112,Môtiers NE,NE,205038.0,52039.0,257077.0,11.02A,Vinification (Production de vin),Célèbre maison neuchâteloise (Môtiers) spécialisée dans la production industrielle de vins mousseux.,,CH
Stardrinks AG,6005,Luzern,LU,176815.0,62505.0,239320.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
von Salis AG,7304,Maienfeld,GR,164009.0,69978.0,233987.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Landolt Weine AG,8045,Zürich,ZH,127561.0,106289.0,233850.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Alloboissons SA,1762,Givisiez,FR,188567.0,37789.0,226356.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Fratelli Triacca AG,7748,Campascio,GR,202826.0,22184.0,225010.0,46.34A,Commerce de gros de boissons alcoolisées,,Triacca,CH
CARATELLO WEINE AG,9014,St. Gallen,SG,179302.0,43252.0,222554.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Zweifel 1898 AG,8049,Zürich,ZH,154598.0,61759.0,216357.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),"Bien que producteur de vin à Zurich, leur structure commerciale actuelle est un réseau d'œnothèques axé sur la vente au détail.",,CH
Nauer Weine AG,5620,Bremgarten AG,AG,156631.0,53953.0,210584.0,46.34A,Commerce de gros de boissons alcoolisées,,Nauer,CH
Vintra SA Weinimporte,8008,Zürich,ZH,150772.0,56340.0,207112.0,46.34A,Commerce de gros de boissons alcoolisées,,Bataillard,CH
M. CUNHA SUISSE SA,1202,Genève,GE,132116.0,70286.0,202402.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Manor AG Basel,8901,Urdorf,ZH,173490.0,25190.0,198680.0,47.11D,Commerce de détail de produits alimentaires en magasins non spécialisés (Grandes surfaces),,,CH
Matasci Vini SA,6598,Tenero,TI,112948.0,51960.0,164908.0,11.02A,Vinification (Production de vin),"Producteur historique tessinois (Tenero), encaveur et créateur du célèbre Selezione d'Ottobre.",,CH
Dettling & Marmot AG,8305,Dietlikon,ZH,105156.0,58331.0,163487.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Cape Wine Selection SA,8820,Wädenswil,ZH,115050.0,43293.0,158343.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
BERTHAUDIN SA,1227,Carouge,GE,127803.0,27762.0,155565.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
EGLE INTERNATIONAL SA,6830,Chiasso,TI,153032.0,1143.0,154175.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Fischer Weine Sursee AG,6210,Sursee,LU,116465.0,37646.0,154111.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Siebe Dupf Kellerei AG,4410,Liestal,BL,97193.0,56874.0,154067.0,11.02A,Vinification (Production de vin),"Cave de production, élevage et pressurage de vins basée à Liestal (BL).",,CH
Plozza SA,7743,Brusio,GR,113736.0,26097.0,139833.0,11.02A,Vinification (Production de vin),Producteur et éleveur de vins (connu pour le Sforzato) basé à Brusio (GR) avec des caves en Valteline.,,CH
De Pina José et Helena Casa Portuguêsa,3960,Sierre,VS,105827.0,30593.0,136420.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
EMIX TRADING AG,6300,Zug,ZG,127125.0,5670.0,132795.0,46.39A,Commerce de gros interentreprises de produits alimentaires,Grossiste et société de négoce de produits de grande consommation et alimentaires.,,CH
MARCELLINO IMPORT GMBH,9100,Herisau,AI,90919.0,39472.0,130391.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Raphael Dal Bo AG,8807,Freienbach,SZ,82121.0,39870.0,121991.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Tamborini Carlo SA,6814,Lamone,TI,79388.0,41742.0,121130.0,11.02A,Vinification (Production de vin),"Un des piliers de la viticulture tessinoise (Lamone), producteur et propriétaire de vignobles.",,CH
ARVI SA,6818,Melano,TI,96047.0,22378.0,118425.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Flaschenpost Services AG,8045,Zürich,ZH,96016.0,20605.0,116621.0,47.91A,Commerce de détail par correspondance ou par Internet,,,CH
Weibel Weine AG,3645,Gwatt (Thun),BE,93151.0,22467.0,115618.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Languedoc Weine GmbH,8583,Sulgen,TG,89630.0,25130.0,114760.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Nicolas Suisse SA,1204,Genève,GE,90267.0,23415.0,113682.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Secli Weinwelt AG,9470,Buchs,SG,65070.0,47631.0,112701.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
La Vinothèque SA,1242,Satigny,GE,71273.0,41347.0,112620.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Weinhandlung am Küferweg AG,5703,Seon,AG,81603.0,30251.0,111854.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Riem Daepp & Co. Aktiengesellschaft,3629,Kiesen,BE,95852.0,15122.0,110974.0,11.02A,Vinification (Production de vin),"Maison de tradition bernoise (Kiesen) qui assure elle-même le pressurage, la vinification et l'embouteillage.",,CH
WineStories AG,9220,Bischofszell,TG,72027.0,38496.0,110523.0,47.91A,Commerce de détail par correspondance ou par Internet,,,CH
Hammel S.A.,1180,Rolle,VD,76183.0,32713.0,108896.0,11.02A,Vinification (Production de vin),"Acteur historique majeur de Rolle (VD), gérant de nombreux domaines, de la vigne à la mise en bouteille.",Schenk,CH
migrolino AG,5034,Suhr,AG,48856.0,59862.0,108718.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,Migros,CH
Decantalo Vinos S.L. Barcelona/ES,1010,Lausanne,VD,82012.0,26078.0,108090.0,47.91A,Commerce de détail par correspondance ou par Internet,,,CH
LE CAVE S.A.,1196,Gland,VD,73058.0,33293.0,106351.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Casa Lusitania Bern GmbH,3013,Bern,BE,83993.0,20516.0,104509.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vogel Vins SA,1091,Grandvaux,VD,73529.0,29988.0,103517.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Weibel Weinhandel AG,6340,Baar,ZG,78701.0,22491.0,101192.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Scherer SA,1227,Genève,GE,71589.0,29028.0,100617.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Pamisa Vins Sàrl,1772,Grolley,FR,82689.0,15436.0,98125.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Emerald Food & Beverage AG,6300,Zug,ZG,96006.0,0.0,96006.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Carlsberg Supply Company AG,8866,Ziegelbrücke,GL,41371.0,53402.0,94773.0,46.34A,Commerce de gros de boissons alcoolisées,,Carlsberg,CH
Gualtieri Vin SA,1228,Plan-les-Ouates,GE,66943.0,27773.0,94716.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Demaurex & Cie S.A.,1022,Chavannes-près-Renens,VD,83100.0,9279.0,92379.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
südhang AG,8803,Rüschlikon,ZH,45762.0,44947.0,90709.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Maisons Marques & Domaines Suisse (MMD),5012,Schönenwerd,SO,74691.0,13694.0,88385.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
EDULIS SA,1227,Les Acacias,GE,77630.0,9696.0,87326.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
De Simoni AG,6010,Kriens,LU,53874.0,31158.0,85032.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
SVR Vins SA,1023,Crissier,VD,69349.0,15338.0,84687.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Daniel Gazzar Vins SA,1009,Pully,VD,76167.0,7798.0,83965.0,47.91A,Commerce de détail par correspondance ou par Internet,,,CH
Le Passeur de Vin SA,1227,Les Acacias,GE,48988.0,32007.0,80995.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
VINTAGE 67 GmbH,3063,Ittigen,BE,65671.0,12922.0,78593.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
MILLESIMA Suisse Sàrl,1009,Pully,VD,64807.0,13663.0,78470.0,47.91A,Commerce de détail par correspondance ou par Internet,,,CH
CAVE ROYALE SA,1006,Lausanne,VD,64588.0,13825.0,78413.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Gastrovin AG,8600,Dübendorf,ZH,54613.0,23672.0,78285.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Mitico Ticino SA,6592,Sant'Antonino,TI,48864.0,29178.0,78042.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
VIVINO ApS Kobenhaven/DK,8008,Zürich,ZH,73510.0,1914.0,75424.0,47.91A,Commerce de détail par correspondance ou par Internet,,,CH
Château André Ziltener SA,4153,Reinach BL,BL,59200.0,15116.0,74316.0,47.91A,Commerce de détail par correspondance ou par Internet,,,CH
Canetti SA,6616,Losone,TI,41567.0,31734.0,73301.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Remimag Gastronomie AG,6023,Rothenburg,LU,42669.0,30489.0,73158.0,56.10A,"Restaurants, cafés et salons de thé","Groupe de restauration qui exploite de nombreux établissements. Le vin y est servi, mais leur code NOGA principal relève de la restauration.",,CH
Vinothèque La passion du vin SA,3011,Bern,BE,56292.0,16728.0,73020.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
REB Wein AG,8038,Zürich,ZH,38383.0,32812.0,71195.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Pierre Wyss SA Négoce de vins,1756,Onnens FR,FR,61188.0,9810.0,70998.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vogelsanger Weine AG,9015,St. Gallen,SG,41732.0,28861.0,70593.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vinenzo Cavaliere E. Cuzzucoli,4057,Basel,BS,48196.0,20319.0,68515.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Bio Partner Schweiz AG,5703,Seon,AG,42014.0,26344.0,68358.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
Weinvogel SA,8006,Zürich,ZH,51860.0,15708.0,67568.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vini D'Amato AG,4051,Basel,BS,43727.0,23140.0,66867.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Erwal Wein AG,8002,Zürich,ZH,37009.0,27514.0,64523.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
St. Peter's Weine AG,4563,Gerlafingen,SO,51016.0,12460.0,63476.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
G & L Wine Sagl,6900,Lugano,TI,61714.0,833.0,62547.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
RITTER WEINE Aktiengesellschaft,9494,Schaan,FL,30637.0,31667.0,62304.0,46.34A,Commerce de gros de boissons alcoolisées,,,LI
Gunz Schweiz GmbH,7000,Chur,GR,36093.0,25146.0,61239.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
Buonvicini AG,8304,Wallisellen,ZH,35965.0,25221.0,61186.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
La Torre SA,7742,Poschiavo,GR,39640.0,21089.0,60729.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
MQ Wines at low cost AG,6330,Cham,ZG,17971.0,40781.0,58752.0,47.91A,Commerce de détail par correspondance ou par Internet,,,CH
Morand frères SA,1635,La Tour-de-Trême,FR,32133.0,26597.0,58730.0,46.34A,Commerce de gros de boissons alcoolisées,"Acteur historique romand (La Tour-de-Peilz, VD) de la distribution en gros de boissons et vins.",,CH
Vins du Douro da Silva Leandro Freitas,1868,Collombey,VS,52632.0,6042.0,58674.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Lodavin SA,1025,St-Sulpice VD,VD,48581.0,10056.0,58637.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Denz Weine AG,8001,Zürich,ZH,51583.0,6989.0,58572.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
VINELLO retail GmbH Dresden,8240,Thayngen,SH,37381.0,20804.0,58185.0,47.91A,Commerce de détail par correspondance ou par Internet,,,CH
Jeggli Weine AG,8107,Buchs ZH,ZH,40921.0,16793.0,57714.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Henkell Freixenet Switzerland GmbH,8048,Zürich,ZH,51017.0,6237.0,57254.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vinothèque de la Charrière S.A.,2300,La Chaux-de-Fonds,NE,40541.0,16455.0,56996.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Boucherville AG,8006,Zürich,ZH,26646.0,30050.0,56696.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Successori di Eugenio Brughera SA,6805,Mezzovico,TI,6014.0,50675.0,56689.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
K & K Promotions SA,1217,Meyrin,GE,36974.0,18779.0,55753.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Pernod Ricard Swiss SA,8304,Wallisellen,ZH,50963.0,2592.0,53555.0,46.34A,Commerce de gros de boissons alcoolisées,,Pernod Ricard,CH
Grünenfelder SA,6572,Quartino,TI,24668.0,27902.0,52570.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Archetti Vini d'Italia AG,8303,Bassersdorf,ZH,39364.0,11385.0,50749.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
SAYA S.A.,1196,Gland,VD,40572.0,9839.0,50411.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Kraftwerk Event GmbH,8802,Kilchberg ZH,ZH,24150.0,25796.0,49946.0,56.21Z,Services des traiteurs,"Structure zurichoise dédiée à l'événementiel, aux espaces de réunions et à la restauration événementielle (Impact Hub).",,CH
Vennerhus Weine AG,3506,Grosshöchstetten,BE,39437.0,10007.0,49444.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vinag-Transporte AG,5426,Lengnau AG,AG,38487.0,9790.0,48277.0,49.41A,Transports routiers de marchandises,Cette société n'achète ni ne vend de vin. Son rôle est la logistique pure : le transport routier national et international de liquides alimentaires en camions-citernes (notamment pour le vin).,,CH
Resinelli vini Sagl,6532,Castione,TI,27454.0,20781.0,48235.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vini Divini AG,5507,Mellingen,AG,30346.0,17856.0,48202.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
DM Vini D. Martello Panno,6032,Emmen,LU,37230.0,10905.0,48135.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Rimuss & Strada Wein AG,8215,Hallau,SH,31276.0,16176.0,47452.0,11.02A,Vinification (Production de vin),"Acteur industriel incontournable (Hallau, SH), pionnier des jus de raisin pétillants (Rimuss) et de la production de vins suisses (Strada).",Rimuss & Strada,CH
SCHÜWO AG,5610,Wohlen AG,AG,32521.0,14599.0,47120.0,46.34A,Commerce de gros de boissons alcoolisées,,Rimuss & Strada,CH
Schubi Weine AG,6003,Luzern,LU,38724.0,7659.0,46383.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Savinis AG,4132,Muttenz,BL,35491.0,10376.0,45867.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Cultivino Weingalerie,3097,Liebefeld,BE,16814.0,28737.0,45551.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Jakob Gerhardt Swiss Wine Broker GmbH,6330,Cham,ZG,36707.0,8413.0,45120.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
CIBUS SA,1214,Vernier,GE,22500.0,22500.0,45000.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
Carl Studer Vinothek AG,6005,Luzern,LU,20840.0,23656.0,44496.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Genossenschaft Cavino,8712,Stäfa,ZH,23285.0,20227.0,43512.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
bofrost suisse AG,8807,Freienbach,SZ,34637.0,8289.0,42926.0,47.91A,Commerce de détail par correspondance ou par Internet,,,CH
Liechti Weine,4056,Basel,BS,26616.0,16112.0,42728.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Vinosur Weinimport GmbH,8964,Rudolfstetten,ZH,29928.0,12616.0,42544.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Fine Wine Trade AG Herisau,9100,Herisau,AI,34641.0,7596.0,42237.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vini & Vini SA,1009,Pully,VD,30392.0,11646.0,42038.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Collection Markus Nauer AG,5102,Rupperswil,AG,24764.0,16922.0,41686.0,46.34A,Commerce de gros de boissons alcoolisées,,Nauer,CH
Divina Food AG,8953,Dietikon,ZH,33579.0,7880.0,41459.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
Weinhandlung Ritschard AG,3800,Interlaken,BE,36294.0,4505.0,40799.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Marina Rodriguez,1217,Meyrin,GE,0.0,40725.0,40725.0,46.34A,Commerce de gros de boissons alcoolisées,,Importation et commerce de gros de vins de la péninsule ibérique.,CH
Meregalli (Suisse) SA,6883,Novazzano,TI,36027.0,4150.0,40177.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
amiata gmbh,9008,St. Gallen,SG,31557.0,8377.0,39934.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Zafferana AG,9050,Appenzell,AR,36767.0,2973.0,39740.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
Mille Vins GmbH,3005,Bern,BE,27983.0,11727.0,39710.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Vini Sacripanti AG,5430,Wettingen,AG,29066.0,9703.0,38769.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Cava Hispania Basel AG,4054,Basel,BS,26574.0,12041.0,38615.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
SGA Schweizerische Grosshandelsagentur,3762,Erlenbach im Simme,BE,38304.0,32.0,38336.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Weinkellerei Stämpfli AG,3177,Laupen BE,BE,31292.0,5242.0,36534.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
TRS Services Sàrl,1212,Grand-Lancy,GE,29356.0,6994.0,36350.0,82.99Z,Autres activités de soutien aux entreprises n.c.a.,"Société de services techniques, d'installations de tirage (fûts, buvettes) et de logistique événementielle pour les boissons.",,CH
Dani Matter Weine Kollektivgesellschaft,7503,Samedan,GR,23238.0,12034.0,35272.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Wieland AG Thusis,7430,Thusis,GR,23659.0,11613.0,35272.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Granarolo Suisse SA,6934,Bioggio,TI,20663.0,14594.0,35257.0,46.33A,"Commerce de gros de produits laitiers, œufs, huiles et graisses comestible","Filiale du géant italien de l'agroalimentaire. Bien qu'ils importent des vins italiens, leur cœur de métier historique reste les produits laitiers et la gastronomie italienne globale.",,CH
Wy vom Wyhüsli Alexis Born AG,3425,Koppigen,BE,27525.0,7697.0,35222.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
